Sample ID,Site,Collection Date,Depth (cm),SO42-,Cl- (mg/L)
P2,below dam pool,4/13/17,60,1332.3449,7.9603
P2,below dam pool,4/19/17,60,1285.0991,9.2174
P2,below dam pool,4/26/17,60,1158.7713,8.1802
P2,below dam pool,5/19/17,60,1249.25,5.9423
P2,below dam pool,5/26/17,60,1224.9752,7.4612
P2,below dam pool,6/1/17,60,1215.335,6.4531
P2,below dam pool,6/13/17,60,1083.7528,NA
P2,below dam pool,6/9/17,60,1077.8003,NA
P2,below dam pool,6/20/17,60,1324.4609,NA
P2,below dam pool,7/3/17,60,1282.2268,NA
P2,below dam pool,7/7/17,60,1204.9778,NA
P2,below dam pool,7/13/17,60,1313.5602,NA
P2,below dam pool,8/25/17,60,1224.8799,5.1397
P2,below dam pool,9/5/17,60,1243.0067,4.5533
P2,below dam pool,9/29/17,60,1389.7647,4.716
P2,below dam pool,10/6/17,60,1289.9298,NA
P2,below dam pool,10/20/17,60,1295.0003,4.7575
P2,below dam pool,11/3/17,60,1291.1143,NA
P3,below dam pool,4/1/17,30,27.8451,2.7312
P3,below dam pool,4/5/17,30,1457.69,5.2803
P3,below dam pool,4/13/17,30,1327.2617,7.9464
P3,below dam pool,4/19/17,30,1550.0735,8.0182
P3,below dam pool,4/26/17,30,1221.5182,6.308
P3,below dam pool,5/19/17,30,1128.0551,4.8622
P3,below dam pool,5/26/17,30,1190.4439,7.0116
P3,below dam pool,6/1/17,30,1654.3784,NA
P3,below dam pool,6/13/17,30,1077.8569,NA
P3,below dam pool,6/9/17,30,1163.4929,NA
P3,below dam pool,6/20/17,30,1239.2346,NA
P3,below dam pool,7/3/17,30,1334.4341,NA
